Date,Close,High,Low,Open,Volume,log_return,volatility_21d,volatility_annualized
2015-01-05,6417.2001953125,6576.7001953125,6404.5,6547.7998046875,728001100,-0.020147169605675416,,
2015-01-06,6366.5,6452.7001953125,6328.60009765625,6417.2001953125,769463100,-0.007932047899211942,,
2015-01-07,6419.7998046875,6459.7001953125,6366.5,6366.5,688211500,0.008337066113831795,,
2015-01-08,6570.0,6580.7998046875,6419.7998046875,6419.7998046875,882740200,0.023126898351334194,,
2015-01-09,6501.10009765625,6570.2001953125,6471.39990234375,6570.0,738488500,-0.010542424122112044,,
2015-01-12,6501.39990234375,6542.39990234375,6447.89990234375,6501.10009765625,602313100,4.611492982936287e-05,,
2015-01-13,6542.2001953125,6558.7998046875,6465.2001953125,6501.39990234375,673572900,0.006256006889519005,,
2015-01-14,6388.5,6542.2001953125,6353.7001953125,6542.2001953125,971256900,-0.023774031144514686,,
2015-01-15,6498.7998046875,6498.7998046875,6298.2001953125,6388.5,980049600,0.017118015370591655,,
2015-01-16,6550.2998046875,6553.2001953125,6443.2998046875,6498.7998046875,805741900,0.007893305887850675,,
2015-01-19,6585.5,6598.89990234375,6548.0,6550.2998046875,537915700,0.005359442149281101,,
2015-01-20,6620.10009765625,6640.39990234375,6585.5,6585.5,677002900,0.005240227869519848,,
2015-01-21,6728.0,6728.0,6620.10009765625,6620.10009765625,847589600,0.016167432344162964,,
2015-01-22,6796.60009765625,6808.2001953125,6726.2001953125,6728.0,926018400,0.010144578838129055,,
2015-01-23,6832.7998046875,6841.7001953125,6796.60009765625,6796.60009765625,839368300,0.005312015556475896,,
2015-01-26,6852.39990234375,6855.89990234375,6790.10009765625,6832.7998046875,611915000,0.0028644245575207426,,
2015-01-27,6811.60009765625,6865.0,6773.5,6852.39990234375,713907000,-0.005971886115703815,,
2015-01-28,6825.89990234375,6863.0,6777.10009765625,6811.60009765625,779603800,0.0020971306952634497,,
2015-01-29,6810.60009765625,6825.89990234375,6750.2001953125,6825.89990234375,704517100,-0.0022439498562591264,,
2015-01-30,6749.39990234375,6844.0,6749.39990234375,6810.60009765625,799357300,-0.009026638770253744,,
2015-02-02,6782.60009765625,6795.5,6732.0,6749.39990234375,757554400,0.004906926090519341,0.01160270558628842,0.18418724110091422
2015-02-03,6871.7998046875,6886.2998046875,6782.39990234375,6782.60009765625,855708500,0.013065528560929223,0.01070814245253396,0.16998649159714876
2015-02-04,6860.0,6883.5,6804.10009765625,6871.7998046875,817845800,-0.0017186104894740368,0.010466570331498972,0.16615165306147892
